0x00:nop
0x01:ld bc,**
0x02:ld (bc),a
0x03:inc bc
0x04:inc b
0x05:dec b
0x06:ld b,*
0x07:rlca
0x08:ex af,af'
0x09:add hl,bc
0x0a:ld a,(bc)
0x0b:dec bc
0x0c:inc c
0x0d:dec c
0x0e:ld c,*
0x0f:rrca
0x10:djnz *
0x11:ld de,**
0x12:ld (de),a
0x13:inc de
0x14:inc d
0x15:dec d
0x16:ld d,*
0x17:rla
0x18:jr *
0x19:add hl,de
0x1a:ld a,(de)
0x1b:dec de
0x1c:inc e
0x1d:dec e
0x1e:ld e,*
0x1f:rra
0x20:jr nz,*
0x21:ld hl,**
0x22:ld (**),hl
0x23:inc hl
0x24:inc h
0x25:dec h
0x26:ld h,*
0x27:daa
0x28:jr z,*
0x29:add hl,hl
0x2a:ld hl,(**)
0x2b:dec hl
0x2c:inc l
0x2d:dec l
0x2e:ld l,*
0x2f:cpl
0x30:jr nc,*
0x31:ld sp,**
0x32:ld (**),a
0x33:inc sp
0x34:inc (hl)
0x35:dec (hl)
0x36:ld (hl),*
0x37:scf
0x38:jr c,*
0x39:add hl,sp
0x3a:ld a,(**)
0x3b:dec sp
0x3c:inc a
0x3d:dec a
0x3e:ld a,*
0x3f:ccf
0x40:ld b,b
0x41:ld b,c
0x42:ld b,d
0x43:ld b,e
0x44:ld b,h
0x45:ld b,l
0x46:ld b,(hl)
0x47:ld b,a
0x48:ld c,b
0x49:ld c,c
0x4a:ld c,d
0x4b:ld c,e
0x4c:ld c,h
0x4d:ld c,l
0x4e:ld c,(hl)
0x4f:ld c,a
0x50:ld d,b
0x51:ld d,c
0x52:ld d,d
0x53:ld d,e
0x54:ld d,h
0x55:ld d,l
0x56:ld d,(hl)
0x57:ld d,a
0x58:ld e,b
0x59:ld e,c
0x5a:ld e,d
0x5b:ld e,e
0x5c:ld e,h
0x5d:ld e,l
0x5e:ld e,(hl)
0x5f:ld e,a
0x60:ld h,b
0x61:ld h,c
0x62:ld h,d
0x63:ld h,e
0x64:ld h,h
0x65:ld h,l
0x66:ld h,(hl)
0x67:ld h,a
0x68:ld l,b
0x69:ld l,c
0x6a:ld l,d
0x6b:ld l,e
0x6c:ld l,h
0x6d:ld l,l
0x6e:ld l,(hl)
0x6f:ld l,a
0x70:ld (hl),b
0x71:ld (hl),c
0x72:ld (hl),d
0x73:ld (hl),e
0x74:ld (hl),h
0x75:ld (hl),l
0x76:halt
0x77:ld (hl),a
0x78:ld a,b
0x79:ld a,c
0x7a:ld a,d
0x7b:ld a,e
0x7c:ld a,h
0x7d:ld a,l
0x7e:ld a,(hl)
0x7f:ld a,a
0x80:add a,b
0x81:add a,c
0x82:add a,d
0x83:add a,e
0x84:add a,h
0x85:add a,l
0x86:add a,(hl)
0x87:add a,a
0x88:adc a,b
0x89:adc a,c
0x8a:adc a,d
0x8b:adc a,e
0x8c:adc a,h
0x8d:adc a,l
0x8e:adc a,(hl)
0x8f:adc a,a
0x90:sub b
0x91:sub c
0x92:sub d
0x93:sub e
0x94:sub h
0x95:sub l
0x96:sub (hl)
0x97:sub a
0x98:sbc a,b
0x99:sbc a,c
0x9a:sbc a,d
0x9b:sbc a,e
0x9c:sbc a,h
0x9d:sbc a,l
0x9e:sbc a,(hl)
0x9f:sbc a,a
0xa0:and b
0xa1:and c
0xa2:and d
0xa3:and e
0xa4:and h
0xa5:and l
0xa6:and (hl)
0xa7:and a
